title,location,price,room_size_sqm,listing_date,cam_free_per_month,property_type,is_finish_construct,constructed_year,bedrooms,bathrooms,no_floors,balcony_view,room_furniture,estimate_rent_per_month,url
2 Bedroom Condo for sale at Supalai Wellington ,"Huai Khwang, Huai Khwang,Bangkok",5900000,76,"Jun 1, 2022",2736,Condo,Completed,Dec 2014,2,2,10,"City View, Pool View, Unblocked Open View",Unfurnished,25600,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-supalai-wellington-in-huai-khwang-bangkok-u1096692
1 Bedroom Condo for sale at C Ekkamai ,"Khlong Tan Nuea, Watthana,Bangkok",3200000,27,"Jun 1, 2022",1485,Condo,Completed,Oct 2018,1,1,15,"City View, Pool View",Fully Furnished,Estimate rent is not available,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-c-ekkamai-in-khlong-tan-nuea-bangkok-u1099094
Studio Condo for sale at Ivy Thonglor ,"Khlong Tan Nuea, Watthana,Bangkok",5500000,35,"May 31, 2022",1575,Condo,Completed,Jan 2010,Studio,1,9,"City View, Unblocked Open View",Negotiable,20100,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-ivy-thonglor-in-khlong-tan-nuea-bangkok-u1099002
1 Bedroom Condo for sale at Hasu Haus ,"Phra Khanong Nuea, Watthana,Bangkok",4120000,37,"May 31, 2022",2479,Condo,Completed,May 2016,1,1,7,City View,Negotiable,17400,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-hasu-haus-in-phra-khanong-nuea-bangkok-u1098792
3 Bedroom Condo for sale at 185 Rajadamri ,"Lumphini, Pathum Wan,Bangkok",80000000,156,"May 31, 2022",12480,Condo,Completed,Dec 2012,3,3,16,"Park View, City View",Fully Furnished,186000,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-185-rajadamri-in-lumphini-bangkok-u1098582
3 Bedroom Condo for sale at The Royal Saladaeng ,"Si Lom, Bang Rak,Bangkok",46000000,211,"May 31, 2022",N/A,Condo,Completed,Jan 2006,3,3,12,City View,Negotiable,120000,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-the-royal-saladaeng-in-si-lom-bangkok-u1098572
3 Bedroom Condo for sale at The Infinity ,"Si Lom, Bang Rak,Bangkok",56000000,228,"May 31, 2022",N/A,Condo,Completed,Dec 2007,3,3,33,"City View, Unblocked Open View",Unfurnished,120000,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-the-infinity-in-si-lom-bangkok-u1098570
1 Bedroom Condo for sale at Noble Remix ,"Khlong Tan, Khlong Toei,Bangkok",10000000,55,"May 30, 2022",2200,Condo,Completed,Dec 2007,1,1,11,"City View, Unblocked Open View",Fully Furnished,32000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-noble-remix-in-khlong-tan-bangkok-u1098576
2 Bedroom Condo for sale at The Ritz-Carlton Residences At MahaNakhon ,"Si Lom, Bang Rak,Bangkok",49000000,125,"May 30, 2022",21250,Condo,Completed,Dec 2016,2,2.5,52,City View,Fully Furnished,120000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-the-ritz-carlton-residences-at-mahanakhon-in-si-lom-bangkok-u1098548
3 Bedroom Condo for sale at The Ritz-Carlton Residences At MahaNakhon ,"Si Lom, Bang Rak,Bangkok",110000000,222,"May 30, 2022",37740,Condo,Completed,Dec 2016,3,3.5,53,City View,Fully Furnished,277000,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-the-ritz-carlton-residences-at-mahanakhon-in-si-lom-bangkok-u1098538
1 Bedroom Condo for sale at The Waterford Sukhumvit 50 ,"Phra Khanong, Khlong Toei,Bangkok",4495000,56,"May 30, 2022",1960,Condo,Completed,Dec 2009,1,1,3,Park View,Fully Furnished,17000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-waterford-sukhumvit-50-in-phra-khanong-bangkok-u1098526
1 Bedroom Condo for sale at The Room Sukhumvit 69 ,"Phra Khanong Nuea, Watthana,Bangkok",6900000,44,"May 30, 2022",2200,Condo,Completed,Dec 2016,1,1,15,City View,Unfurnished,29100,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-room-sukhumvit-69-in-phra-khanong-nuea-bangkok-u1095490
1 Bedroom Condo for sale at Aspire Sukhumvit-Onnut ,"Suan Luang, Suan Luang,Bangkok",3570000,36,"May 30, 2022",2052,Condo,Completed,Dec 2020,1,1,2,Garden View,Partly Furnished,13100,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-aspire-sukhumvit-onnut-in-suan-luang-bangkok-u1098402
1 Bedroom Condo for sale at The Room Sukhumvit 62 ,"Bang Chak, Phra Khanong,Bangkok",5590000,45,"May 27, 2022",1800,Condo,Completed,Dec 2009,1,1,11,City View,Fully Furnished,21000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-room-sukhumvit-62-in-bang-chak-bangkok-u1098274
3 Bedroom Condo for sale at Menam Residences ,"Wat Phraya Krai, Bang Kho Laem,Bangkok",27500000,122,"May 27, 2022",7320,Condo,Completed,Dec 2015,3,2,37,"River or Canal View, City View, Unblocked Open View",Fully Furnished,95100,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-menam-residences-in-wat-phraya-krai-bangkok-u1098218
1 Bedroom Condo for sale at Magnolias Ratchadamri Boulevard [Leasehold] ,"Lumphini, Pathum Wan,Bangkok",12000000,50,"May 27, 2022",4500,Condo,Completed,Dec 2015,1,1,20,"Golf Course View, City View, Blocked View",Fully Furnished,45000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-magnolias-ratchadamri-boulevard-in-lumphini-bangkok-u1098156
2 Bedroom Condo for sale at Thonglor Tower ,"Khlong Tan Nuea, Watthana,Bangkok",5900000,93,"May 27, 2022",2325,Condo,Completed,Jan 1995,2,2,11,"City View, Unblocked Open View",Fully Furnished,21400,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-thonglor-tower-in-khlong-tan-nuea-bangkok-u1098012
Studio Condo for sale at Lumpini Place Narathiwas ,"Chong Nonsi, Yan Nawa,Bangkok",2390000,34,"May 27, 2022",N/A,Condo,Completed,Jan 2007,Studio,1,7,City View,Fully Furnished,Estimate rent is not available,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-lumpini-place-narathiwas-in-chong-nonsi-bangkok-u1098008
2 Bedroom Condo for sale at Aspire Rama 9 ,"Bang Kapi, Huai Khwang,Bangkok",6300000,48,"May 27, 2022",1680,Condo,Completed,Dec 2013,2,2,16,City View,Fully Furnished,26000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-aspire-rama-9-in-bang-kapi-bangkok-u1098216
1 Bedroom Condo for sale at Unio Rama 2 - Thakham ,"Samae Dam, Bang Khun Thian,Bangkok",1590000,22,"May 27, 2022",N/A,Condo,Completed,Dec 2017,1,1,3,Garden View,Fully Furnished,Estimate rent is not available,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-unio-rama-2-thakham-in-samae-dam-bangkok-u1095386
1 Bedroom Condo for sale at Onyx Phaholyothin ,"Sam Sen Nai, Phaya Thai,Bangkok",4500000,31,"May 27, 2022",1085,Condo,Completed,Dec 2012,1,1,18,City View,Fully Furnished,15800,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-onyx-phaholyothin-in-sam-sen-nai-bangkok-u1098034
1 Bedroom Condo for sale at Resorta Yen-Akat ,"Chong Nonsi, Yan Nawa,Bangkok",2480000,40,"May 27, 2022",1600,Condo,Completed,Dec 2005,1,1,3,City View,Fully Furnished,13400,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-resorta-yen-akat-in-chong-nonsi-bangkok-u1098214
1 Bedroom Condo for sale at Wish @ Siam ,"Thanon Phet Buri, Ratchathewi,Bangkok",4390000,35,"May 26, 2022",1225,Condo,Completed,Dec 2008,1,1,18,"City View, Unblocked Open View",Fully Furnished,16900,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-wish-at-siam-in-thanon-phet-buri-bangkok-u1098144
1 Bedroom Condo for sale at Ivy Sathorn 10 ,"Si Lom, Bang Rak,Bangkok",4500000,41,"May 26, 2022",2050,Condo,Completed,Dec 2008,1,1,29,"City View, Unblocked Open View",Fully Furnished,19400,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-ivy-sathorn-10-in-si-lom-bangkok-u1098142
2 Bedroom Condo for sale at The Monument Thonglo ,"Khlong Tan Nuea, Watthana,Bangkok",46000000,125,"May 26, 2022",11875,Condo,Completed,Dec 2019,2,3,10,"Skyline View, City View, Unblocked Open View",Fully Furnished,140000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-the-monument-thonglo-in-khlong-tan-nuea-bangkok-u1097976
1 Bedroom Condo for sale at Condo U Vibha - Ladprao ,"Chomphon, Chatuchak,Bangkok",2790000,31,"May 26, 2022",N/A,Condo,Completed,Dec 2014,1,1,2,"City View, Pool View",Fully Furnished,10400,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-condo-u-vibha-ladprao-in-chomphon-bangkok-u1098134
Studio Condo for sale at Urbano Absolute Sathon-Taksin ,"Khlong Ton Sai, Khlong San,Bangkok",2850000,30,"May 26, 2022",1350,Condo,Completed,Dec 2012,Studio,1,20,City View,Fully Furnished,12300,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-urbano-absolute-sathon-taksin-in-khlong-ton-sai-bangkok-u1097982
2 Bedroom Condo for sale at The Ritz-Carlton Residences At MahaNakhon ,"Si Lom, Bang Rak,Bangkok",48000000,132,"May 26, 2022",22440,Condo,Completed,Dec 2016,2,2.5,32,"City View, Unblocked Open View",Fully Furnished,118000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-the-ritz-carlton-residences-at-mahanakhon-in-si-lom-bangkok-u1097904
2 Bedroom Condo for sale at Ashton Morph 38 ,"Phra Khanong, Khlong Toei,Bangkok",15550000,75,"May 26, 2022",3750,Condo,Completed,Dec 2012,2,2,22,City View,Fully Furnished,55000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-ashton-morph-38-in-phra-khanong-bangkok-u1097898
1 Bedroom Condo for sale at Saladaeng One ,"Si Lom, Bang Rak,Bangkok",21500000,56,"May 26, 2022",5040,Condo,Completed,Dec 2018,1,1,13,"Park View, City View",Fully Furnished,64500,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-saladaeng-one-in-si-lom-bangkok-u1096578
2 Bedroom Condo for sale at Supalai Place ,"Khlong Tan Nuea, Watthana,Bangkok",12250000,145.50,"May 26, 2022",4511,Condo,Completed,Dec 1994,2,2,14,City View,Fully Furnished,55000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-supalai-place-in-khlong-tan-nuea-bangkok-u1097802
1 Bedroom Condo for sale at Aspire Rama 4 ,"Phra Khanong, Khlong Toei,Bangkok",2200000,28,"May 26, 2022",980,Condo,Completed,Dec 2011,1,1,19,Pool View,Fully Furnished,10000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-aspire-rama-4-in-phra-khanong-bangkok-u1097864
1 Bedroom Condo for sale at Knightsbridge Prime Sathorn ,"Thung Wat Don, Sathon,Bangkok",5768000,31,"May 26, 2022",1705,Condo,Completed,Jul 2019,1,1,21,City View,Fully Furnished,23500,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-knightsbridge-prime-sathorn-in-thung-wat-don-bangkok-u1097784
1 Bedroom Condo for sale at Aspire Rama 4 ,"Phra Khanong, Khlong Toei,Bangkok",2400000,28,"May 26, 2022",980,Condo,Completed,Dec 2011,1,1,24,City View,Fully Furnished,10900,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-aspire-rama-4-in-phra-khanong-bangkok-u1093056
5 Bedroom Condo for sale at Nusa State Tower Condominium ,"Si Lom, Bang Rak,Bangkok",45900000,494,"May 26, 2022",17290,Condo,Completed,Dec 2000,5,5,48,"River or Canal View, City View, Unblocked Open View",Unfurnished,17290,https://www.fazwaz.com/property-sales/5-bedroom-condo-for-sale-at-nusa-state-tower-condominium-in-si-lom-bangkok-u1097776
2 Bedroom Condo for sale at Sathorn Gardens ,"Thung Mahamek, Sathon,Bangkok",9500000,78,"May 26, 2022",1950,Condo,Completed,Dec 2008,2,2,29,City View,Fully Furnished,32800,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-sathorn-gardens-in-thung-mahamek-bangkok-u1097472
1 Bedroom Condo for sale at Ceil By Sansiri ,"Khlong Tan Nuea, Watthana,Bangkok",4550000,35,"May 26, 2022",1750,Condo,Completed,Feb 2013,1,1,8,City View,Fully Furnished,18500,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-ceil-by-sansiri-in-khlong-tan-nuea-bangkok-u1096660
1 Bedroom Condo for sale at UNiO Charan 3 ,"Wat Tha Phra, Bangkok Yai,Bangkok",1569000,28,"May 26, 2022",980,Condo,Completed,Jun 2017,1,1,5,Garden View,Fully Furnished,7040,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-unio-charan-3-in-wat-tha-phra-bangkok-u1097526
1 Bedroom Condo for sale at Lumpini Condo Town Ramindra - Latplakhao ,"Anusawari, Bang Khen,Bangkok",1590000,26,"May 26, 2022",N/A,Condo,Completed,Dec 2012,1,1,6,City View,Fully Furnished,7470,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-lumpini-condo-town-ramindra-latplakhao-in-anusawari-bangkok-u1087684
2 Bedroom Condo for sale at Fuse Chan - Sathorn ,"Yan Nawa, Sathon,Bangkok",5500000,57,"May 26, 2022",1995,Condo,Completed,Dec 2014,2,2,17,City View,Fully Furnished,25000,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-fuse-chan-sathorn-in-yan-nawa-bangkok-u1097676
1 Bedroom Condo for sale at Life Ladprao ,"Chomphon, Chatuchak,Bangkok",5510500,35,"May 26, 2022",1750,Condo,Completed,May 2020,1,1,16,City View,Fully Furnished,15000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-life-ladprao-in-chomphon-bangkok-u1097602
Studio Condo for sale at Le Rich Sathorn-Satupradit ,"Chong Nonsi, Yan Nawa,Bangkok",1790000,32,"May 26, 2022",33,Condo,Completed,Dec 2007,Studio,1,9,City View,Unfurnished,33,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-le-rich-sathorn-satupradit-in-chong-nonsi-bangkok-u1097538
2 Bedroom Condo for sale at The Green 2 ,"Bang Chak, Phra Khanong,Bangkok",2500000,58,"May 26, 2022",30,Condo,Completed,Jan 2013,2,1,5,City View,Fully Furnished,30,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-the-green-2-in-bang-chak-bangkok-u1097514
1 Bedroom Condo for sale at Ideo Ratchada - Sutthisan ,"Din Daeng, Din Daeng,Bangkok",3690000,28,"May 26, 2022",1680,Condo,Completed,Dec 2020,1,1,10,"City View, Unblocked Open View",Fully Furnished,11000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-ideo-ratchada-sutthisan-in-din-daeng-bangkok-u1097534
2 Bedroom Condo for sale at Supalai Veranda Rama 9 ,"Bang Kapi, Huai Khwang,Bangkok",6390000,65,"May 26, 2022",N/A,Condo,Completed,Nov 2019,2,2,22,City View,Fully Furnished,25200,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-supalai-veranda-rama-9-in-bang-kapi-bangkok-u1097492
1 Bedroom Condo for sale at Ceil By Sansiri ,"Khlong Tan Nuea, Watthana,Bangkok",4590000,35,"May 26, 2022",1750,Condo,Completed,Feb 2013,1,1,17,City View,Fully Furnished,18700,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-ceil-by-sansiri-in-khlong-tan-nuea-bangkok-u1097490
2 Bedroom Condo for sale at Parc Exo Condominium ,"Ram Inthra, Khan Na Yao,Bangkok",4500000,66,"May 26, 2022",1980,Condo,Completed,Dec 2010,2,2,6,City View,Fully Furnished,19800,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-parc-exo-condominium-in-ram-inthra-bangkok-u1097504
1 Bedroom Condo for sale at Via 31 ,"Khlong Tan Nuea, Watthana,Bangkok",7600000,46,"May 26, 2022",2760,Condo,Completed,Dec 2011,1,1,3,Garden View,Fully Furnished,33600,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-via-31-in-khlong-tan-nuea-bangkok-u1097458
1 Bedroom Condo for sale at Metro Luxe Ratchada ,"Din Daeng, Din Daeng,Bangkok",3400000,28,"May 26, 2022",1260,Condo,Completed,Aug 2017,1,1,5,Blocked View,Fully Furnished,11800,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-metro-luxe-ratchada-in-din-daeng-bangkok-u1097486
2 Bedroom Condo for sale at Sathorn Gardens ,"Thung Mahamek, Sathon,Bangkok",15450000,109,"May 26, 2022",2725,Condo,Completed,Dec 2008,2,2,29,City View,Fully Furnished,53300,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-sathorn-gardens-in-thung-mahamek-bangkok-u1097452
2 Bedroom Condo for sale at Star View ,"Bang Khlo, Bang Kho Laem,Bangkok",11000000,73,"May 26, 2022",2555,Condo,Completed,Dec 2013,2,2,48,"River or Canal View, City View, Unblocked Open View",Unfurnished,39600,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-star-view-in-bang-khlo-bangkok-u1097402
1 Bedroom Condo for sale at Hive Taksin ,"Khlong Ton Sai, Khlong San,Bangkok",4430000,40,"May 26, 2022",1600,Condo,Completed,Jan 2013,1,1,26,City View,Fully Furnished,16000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-hive-taksin-in-khlong-ton-sai-bangkok-u1097396
2 Bedroom Condo for sale at Life Ladprao 18 ,"Chomphon, Chatuchak,Bangkok",5000000,55,"May 25, 2022",1925,Condo,Completed,Dec 2010,2,1,13,"City View, Unblocked Open View",Fully Furnished,26300,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-life-ladprao-18-in-chomphon-bangkok-u1097292
3 Bedroom Condo for sale at Moon Tower ,"Khlong Tan Nuea, Watthana,Bangkok",30000000,289,"May 25, 2022",N/A,Condo,Completed,Dec 1994,3,3,15,City View,Fully Furnished,103000,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-moon-tower-in-khlong-tan-nuea-bangkok-u1097386
1 Bedroom Condo for sale at Thonglor Tower ,"Khlong Tan Nuea, Watthana,Bangkok",3980000,48,"May 25, 2022",1200,Condo,Completed,Jan 1995,1,1,5,City View,Fully Furnished,17900,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-thonglor-tower-in-khlong-tan-nuea-bangkok-u1097268
1 Bedroom Condo for sale at Nye by Sansiri ,"Khlong Ton Sai, Khlong San,Bangkok",3800000,31,"May 25, 2022",1550,Condo,Completed,Dec 2014,1,1,8,Pool View,Fully Furnished,12800,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-nye-by-sansiri-in-khlong-ton-sai-bangkok-u1095406
2 Bedroom Condo for sale at Life Ladprao 18 ,"Chomphon, Chatuchak,Bangkok",5990000,55,"May 25, 2022",1925,Condo,Completed,Dec 2010,2,1,28,"City View, Unblocked Open View",Fully Furnished,31500,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-life-ladprao-18-in-chomphon-bangkok-u1097304
2 Bedroom Condo for sale at Life Ladprao 18 ,"Chomphon, Chatuchak,Bangkok",5000000,55,"May 25, 2022",1925,Condo,Completed,Dec 2010,2,1,13,"River or Canal View, City View",Fully Furnished,26300,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-life-ladprao-18-in-chomphon-bangkok-u1097302
1 Bedroom Condo for sale at The River by Raimon Land ,"Khlong Ton Sai, Khlong San,Bangkok",11500000,65,"May 25, 2022",5850,Condo,Completed,Dec 2009,1,1,13,"River or Canal View, City View",Fully Furnished,39500,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-river-by-raimon-land-in-khlong-ton-sai-bangkok-u1097242
2 Bedroom Condo for sale at Life Ladprao 18 ,"Chomphon, Chatuchak,Bangkok",7950000,65,"May 25, 2022",2275,Condo,Completed,Dec 2010,2,2,20,City View,Fully Furnished,41900,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-life-ladprao-18-in-chomphon-bangkok-u1097298
1 Bedroom Condo for sale at The River by Raimon Land ,"Khlong Ton Sai, Khlong San,Bangkok",12500000,65,"May 25, 2022",5850,Condo,Completed,Dec 2009,1,1,11,"River or Canal View, City View",Fully Furnished,43000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-river-by-raimon-land-in-khlong-ton-sai-bangkok-u1097234
3 Bedroom Condo for sale at The River by Raimon Land ,"Khlong Ton Sai, Khlong San,Bangkok",23000000,130,"May 25, 2022",11700,Condo,Completed,Dec 2009,3,2,20,"River or Canal View, City View",Unfurnished,63600,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-the-river-by-raimon-land-in-khlong-ton-sai-bangkok-u1097232
3 Bedroom Condo for sale at Royal Castle Pattanakarn ,"Suan Luang, Suan Luang,Bangkok",6800000,215,"May 25, 2022",5000,Condo,Completed,Dec 1996,3,3,12,"City View, Garden View, Unblocked Open View",Fully Furnished,18900,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-royal-castle-pattanakarn-in-suan-luang-bangkok-u1097152
1 Bedroom Condo for sale at M Jatujak ,"Chomphon, Chatuchak,Bangkok",3500000,28.57,"May 25, 2022",1429,Condo,Completed,Nov 2017,1,1,26,"City View, Unblocked Open View",Fully Furnished,14600,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-m-jatujak-in-chomphon-bangkok-u1097138
1 Bedroom Condo for sale at Lumpini Ville Ratburana Riverview 2 ,"Bang Pakok, Rat Burana,Bangkok",2190000,26,"May 25, 2022",35,Condo,Completed,Mar 2017,1,1,6,"River or Canal View, City View",Fully Furnished,35,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-lumpini-ville-ratburana-riverview-2-in-bang-pakok-bangkok-u1096844
1 Bedroom Condo for sale at A Space Hideaway Asoke-Ratchada ,"Din Daeng, Din Daeng,Bangkok",2400000,35,"May 25, 2022",1225,Condo,Completed,Dec 2009,1,1,7,Blocked View,Fully Furnished,11500,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-a-space-hideaway-asoke-ratchada-in-din-daeng-bangkok-u1097130
1 Bedroom Condo for sale at Ideo Sukhumvit 93 ,"Bang Chak, Phra Khanong,Bangkok",4330000,32,"May 25, 2022",1440,Condo,Completed,Dec 2018,1,1,16,City View,Fully Furnished,15300,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-ideo-sukhumvit-93-in-bang-chak-bangkok-u1096840
1 Bedroom Condo for sale at Life Ladprao Valley ,"Chomphon, Chatuchak,Bangkok",5800000,35,"May 25, 2022",1925,Condo,Completed,Jul 2021,1,1,11,City View,Fully Furnished,22000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-life-ladprao-valley-in-chomphon-bangkok-u1097172
2 Bedroom Condo for sale at Magnolias Waterfront Residences ,"Khlong Ton Sai, Khlong San,Bangkok",35000000,95,"May 25, 2022",8550,Condo,Completed,Sep 2019,2,2,47,"River or Canal View, City View",Unfurnished,92800,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-magnolias-waterfront-residences-in-khlong-ton-sai-bangkok-u1096836
1 Bedroom Condo for sale at Life Ladprao Valley ,"Chomphon, Chatuchak,Bangkok",6500000,35,"May 25, 2022",1925,Condo,Completed,Jul 2021,1,1,39,"Park View, City View",Fully Furnished,25000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-life-ladprao-valley-in-chomphon-bangkok-u1097170
2 Bedroom Condo for sale at Ideo Blucove Sukhumvit ,"Bang Na, Bang Na,Bangkok",6700000,63,"May 25, 2022",1890,Condo,Completed,Dec 2011,2,2,13,City View,Fully Furnished,24300,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-ideo-blucove-sukhumvit-in-bang-na-bangkok-u1096834
1 Bedroom Condo for sale at U Delight Ratchavibha ,"Lat Yao, Chatuchak,Bangkok",4590000,40,"May 25, 2022",1600,Condo,Completed,Mar 2017,1,1,12,"City View, Pool View",Fully Furnished,17700,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-u-delight-ratchavibha-in-lat-yao-bangkok-u1096822
1 Bedroom Condo for sale at Chateau In Town Phaholyothin 14 ,"Sam Sen Nai, Phaya Thai,Bangkok",2490000,29,"May 25, 2022",51,Condo,Completed,Jan 2011,1,1,3,City View,Partly Furnished,51,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-chateau-in-town-phaholyothin-14-in-sam-sen-nai-bangkok-u1097120
Studio Condo for sale at Noble Revent ,"Thanon Phaya Thai, Ratchathewi,Bangkok",5500000,33,"May 25, 2022",N/A,Condo,Completed,Jan 2014,Studio,1,14,City View,Fully Furnished,15200,https://www.fazwaz.com/property-sales/studio-condo-for-sale-at-noble-revent-in-thanon-phaya-thai-bangkok-u1097156
2 Bedroom Condo for sale at Life Ratchadapisek ,"Huai Khwang, Huai Khwang,Bangkok",5290000,46,"May 25, 2022",1748,Condo,Completed,Dec 2013,2,1,8,City View,Fully Furnished,21100,https://www.fazwaz.com/property-sales/2-bedroom-condo-for-sale-at-life-ratchadapisek-in-huai-khwang-bangkok-u1097084
1 Bedroom Condo for sale at Le Rich at Aree Station ,"Sam Sen Nai, Phaya Thai,Bangkok",3450000,30,"May 25, 2022",N/A,Condo,Completed,Dec 2011,1,1,6,City View,Fully Furnished,Estimate rent is not available,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-le-rich-at-aree-station-in-sam-sen-nai-bangkok-u1097072
1 Bedroom Condo for sale at The Niche Pride Thonglor-Phetchaburi ,"Bang Kapi, Huai Khwang,Bangkok",4390000,36,"May 25, 2022",1656,Condo,Completed,Dec 2016,1,1,15,"River or Canal View, City View, Unblocked Open View",Fully Furnished,21000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-niche-pride-thonglor-phetchaburi-in-bang-kapi-bangkok-u1097064
1 Bedroom Condo for sale at The Lofts Silom ,"Si Lom, Bang Rak,Bangkok",11000000,49,"May 25, 2022",4410,Condo,Completed,Jun 2020,1,1,25,City View,Fully Furnished,31600,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-lofts-silom-in-si-lom-bangkok-u1096464
1 Bedroom Condo for sale at The Link Vano Sukhumvit 64 ,"Bang Chak, Phra Khanong,Bangkok",3250000,37,"May 25, 2022",1480,Condo,Completed,Jan 2016,1,1,8,City View,Fully Furnished,20000,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-the-link-vano-sukhumvit-64-in-bang-chak-bangkok-u1096556
1 Bedroom Condo for sale at Aspire Rama 9 ,"Bang Kapi, Huai Khwang,Bangkok",4500000,32,"May 25, 2022",1120,Condo,Completed,Dec 2013,1,1,6,Blocked View,Fully Furnished,15800,https://www.fazwaz.com/property-sales/1-bedroom-condo-for-sale-at-aspire-rama-9-in-bang-kapi-bangkok-u1096762
3 Bedroom Condo for sale at Klass Sarasin-Rajdamri ,"Lumphini, Pathum Wan,Bangkok",29500000,142,"May 25, 2022",11360,Condo,Completed,Nov 2017,3,3,1,Garden View,Fully Furnished,11360,https://www.fazwaz.com/property-sales/3-bedroom-condo-for-sale-at-klass-sarasin-rajdamri-in-lumphini-bangkok-u1096696
