lat,lng,property_name
13.7351173,100.5676356,Beverly 33 
13.6875946,100.5179856,Star View 
13.7505666,100.5833392,AQ Alix Residence Soonvijai 
13.7303224,100.5859776,Modern Town 
13.7230481,100.5292264,The Infinity 
13.7250896,100.5634474,The Nest Sukhumvit 22 
13.7478777,100.5525933,First Tower 
13.6885094,100.5492497,Supalai Prima Riva 
13.7315763,100.5748823,Via Botani 
13.7303322,100.640112,Regent Srinakarin Tower 
13.7968826,100.6943992,The Niche ID Serithai 
13.7756542,100.6583916,Lumpini Condo Town Nida - Serithai 
13.8319655,100.5713079,Centric Ratchayothin 
13.7037092,100.5997354,The Next Sukhumvit 52 
13.7973916,100.5826188,Groove Scape Ladprao - Sutthisan 
13.7132262,100.6043795,Lumpini Center Sukhumvit 77 
13.7230857,100.527201,Life At Sathorn 10 
13.7337376,100.5851763,La Citta Thonglor 8 
13.6983259,100.3934856,The Viva Petchkasem 68 
13.7788276,100.5429291,Nue Evo Ari 
13.78084,100.6212095,Cube Condo Latphrao 93-101 
13.8185865,100.679809,Blossom Condo at Fashion Beyond 
13.7277746,100.5109658,The Residences Mandarin Oriental Bangkok 
13.8285799,100.5704346,Central Ratchayothin Park 
13.7617028,100.5915229,JRY Rama 9 Condominium 
13.6577186,100.6030121,KnightsBridge Collage Sukhumvit 107 
13.8051789,100.5759377,Haus 23 Ratchada-Ladprao 
13.8027375,100.5870658,Regent Home 12 Latphrao 41 
13.7349128,100.5469176,Prive by Sansiri 
13.7084087,100.4117507,Bangkae City Condo 
13.8140548,100.5607259,The Crest Park Residences 
13.6713805,100.605605,The Coast Bangkok 
13.8383528,100.5837177,Hesper Blue Kaset 
13.681419,100.6126129,Pause Sukhumvit 103 
13.7211433,100.7038376,Lumpini Ville On Nut - Latkrabang 
13.6787807,100.6239097,My Condo Sukhumvit 103 
13.8092277,100.7210512,Lumpini Condotown Romklao - Suvarnabhumi 
13.8630429,100.6027654,Darinplace 
13.7624168,100.6487715,Bangkok Horizon Ramkhamhaeng 
13.7537081,100.6142907,The Muve Ram 22 
13.7373269,100.642984,Rich Park at Triple Station 
13.7462183,100.6062662,Bangkapi Grand Condo 
13.8102466,100.5672202,The Zest Ladprao 
13.7394856,100.542708,Grand Langsuan 
13.7393008,100.5726451,Siamese Thirty Nine 
13.7097814,100.542075,The Parco Condominium 
13.7254525,100.58171,Moon Tower 
13.7239708,100.530225,Quad Silom 
13.7138542,100.5344802,Regal Condo Sathon - Naradhiwas 
13.728487,100.4739658,City Home Tha-Phra Intersection 
13.741033,100.5612946,The Master Centrium Asoke-Sukhumvit 
13.6836138,100.5491864,Lumpini Place Narathiwas 
13.671706,100.541619,The Pano Rama3 
13.7226251,100.5468407,The Natural Place Suite Condominium 
13.7718995,100.4928005,Chateau in Town Rama 8 
13.7842859,100.5828005,C Style Condominium Ratchada 18 
13.7113344,100.5493528,Supreme Legend 
13.7251936,100.5618277,XVI The Sixteenth Condominium 
13.7643056,100.6510556,Origin Plug and Play Ramkhamhaeng Triple Station 
13.8027432,100.5699266,Groove Vibes Ladprao 18 
13.7169601,100.5166173,Rhythm Sathorn 
13.693601,100.5359292,The Trust Residence Ratchada-Rama 3 
13.7890642,100.5893815,The Privacy Ratchada - Sutthisan 
13.7005999,100.5164468,The Key Sathorn-Charoenraj 
13.8027837,100.5610103,Baan Vipavee 
13.76396,100.5399989,Maestro 07 Victory Monument 
13.7123876,100.4697854,Rich Point Wutthakard 
13.7044308,100.5925203,Niche Mono Sukhumvit 50 
13.7234211,100.5317775,Collezio Sathorn-Pipat 
13.7978145,100.5951333,Lumpini Ville Latphrao-Chokchai 4 
13.8462396,100.5635848,The Ville Kaset - sart 
13.7227157,100.5369773,Baan Piya Sathorn 
13.7046264,100.5950204,Mayfair Place Sukhumvit 50 
13.7129461,100.587961,The Tree Sukhumvit - Rama 4 
13.7612071,100.6490618,Plum Condo Ram 60 Interchange 
13.7076107,100.5997195,Aspire Onnut Station 
13.722028,100.534139,The Met 
13.7532034,100.5762888,Lumpini Park Rama 9 - Ratchada 
13.7297391,100.5760098,The Alcove 49 
13.7553223,100.5689843,PG Rama IX 
13.8121895,100.5208307,Chapter One Shine Bangpo 
13.8457359,100.5806616,Kensington Phahol - Kaset 
13.7412308,100.5497264,Baan Siriruedee 
13.8177949,100.5795142,Ease Ratchada 
13.7897757,100.5744605,Ratchada City 18 
13.7258275,100.5850911,Le Nice Ekamai 
13.7158569,100.5689948,Mirage Sukhumvit 27 
13.7201293,100.5211623,Sathorn House 
13.7539695,100.529213,CONNER Ratchathewi 
13.8250949,100.5369749,U Delight 3 Prachachuen Bangsue 
13.7788857,100.5425603,Noble Lite 
13.7544272,100.5290283,Park Origin Ratchathewi 
13.7110806,100.5939199,Aspire Sukhumvit 48 
13.7190073,100.5314868,The Empire Place 
13.7591043,100.5329015,Ideo Mobi Phayathai 
13.7352523,100.5830644,Liv At 49 
13.7810072,100.4745165,Lumpini Place Pinklao 2 
13.8195212,100.530245,Regent Home Bangson 27 
13.7874567,100.5439959,Le Monaco Residence Ari 
13.689724,100.4526312,Ekachai Condominium 2 
13.7482069,100.528612,Klass Siam 
13.810566,100.5634373,Vibhavadi Suite 
13.7208764,100.5763047,Ideo Q Sukhumvit 36 
13.7198457,100.5220438,The Diplomat Sathorn 
13.8188721,100.5317414,Ideo Mobi Wongsawang - Interchange 
13.7867356,100.5717854,The Kris Ratchada 17 
13.7146644,100.6192444,Regent Pattanakarn 
13.6735656,100.545521,Royal River Place 
13.7419362,100.5442268,Klass Langsuan 
13.7170064,100.5857113,The Address Sukhumvit 42 
