lat,lng,property_name,trainstation_name,trainstation_lat,trainstation_lng,subway_station_name,subway_station_lat,subway_station_lng,subway_station_distance_meter,train_station_distance_meter
13.896595,100.609132,Sena Kith BTS Saphanmai,Khan Keha Khomo Sipkao,13.8986083,100.5890182,N/A,"","",null,5494
13.7588017,100.5420514,The Complete Rajprarop,Ratchaprarop,13.7550815,100.542162,Ratchaprarop,13.7551015,100.5421525,455,457
13.664737,100.6067904,Dolce Lasalle,Mae Nam Railway Station,13.7139353,100.5536168,Bang Na,13.668148,100.60467,1636,11367
13.7899623,100.5700394,Ideo Ratchada - Sutthisan,Sutthisan MRT Station,13.7898476,100.5741786,Sutthisan,13.7897417,100.5742012,438,465
13.741644,100.5753215,Verde Sukhumvit 49/15,Asoke,13.749458,100.5638356,Phrom Phong,13.73042,100.5697,1811,3429
13.8045746,100.5784729,Ables Ladprao 27,Sutthisan MRT Station,13.7898476,100.5741786,Lat Phrao,13.8061019,100.5736521,750,2199
13.7556667,100.5663737,Condolette Midst Rama 9,Asoke,13.749458,100.5638356,สถานีพระราม 9,13.75723,100.565112,301,881
13.7769739,100.5604333,Vela De Condo UTCC - Vipawadee 2,Sutthisan MRT Station,13.7898476,100.5741786,N/A,"","",null,2866
13.7889383,100.5035996,Ideo Charan 70 - Riverview,Bang Bamru Station,13.7916118,100.4777099,Bang Phlat,13.7924323,100.5050274,535,3387
13.743603,100.5612816,The Room Sukhumvit 21,Asoke,13.749458,100.5638356,Sukhumvit,13.7385266,100.5614475,637,828
13.7124894,100.5953276,Zenith Place Sukhumvit,Sukhumvit 71,13.7429334,100.6004022,Phra Khanong,13.7151737,100.5912598,562,4629
13.7996904,100.5737516,Condo One Ratchada-Ladprao,Sutthisan MRT Station,13.7898476,100.5741786,Ratchadaphisek,13.7991493,100.5746134,182,1187
13.7429836,100.5838819,Chapter Thonglor 25,Khlong Tan,13.744097,100.5896845,Ramkhamhaeng,13.7429925,100.6001474,3122,1973
13.7054025,100.597444,Serio Sukhumvit 50,Sukhumvit 71,13.7429334,100.6004022,On Nut,13.7056546,100.6010035,471,5751
13.7652956,100.5673912,Amanta Ratchada,Makkasan,13.7511902,100.5607675,Thailand Cultural Centre,13.7663,100.57026,410,2310
